,constituency,name,age,cases,assets,liabilities,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category,party,votes,gender,uuid,Year,education_category
1373,Afzalpur,Malikayya. V. Guttedar,67,0,90829799.0,5136054.0,"B.Com from S. B. College, Kalaburagi in 1978-79",GEN,Gulbarga,Social Work,House Wife,Social Work / Activism,Cound't Classify,BJP,31394.0,M,nRxP7qcD,2023,Graduate
1374,Gulbarga Rural,Mailari Yeshawanth Shallagi,59,0,13290000.0,400000.0,B.Com in the year 1987 from Gulbarga University Gulbarga of Ambedkar Degree College.,SC,Gulbarga,Private Work,Household,Business / Entrepreneurship,Not Given,BSP,835.0,M,LFkuDrHN,2023,Graduate
1375,Chamaraja,Malavika Gubbivani,49,0,220786247.0,1545000.0,"Bachelor of Engineering in Computer Science and Engineering from Sri Jayachamarajendra College of Engineering, University of Mysore in 1995",GEN,Mysore,Social and Political Activist,Manager in Software Services Multi-National,Social Work / Activism,"Information Technology, Business / Entrepreneurship",AAP,789.0,M,NeFJE8Pz,2023,Graduate
1376,Ramdurg,Malikjan Nadaf,41,0,511000.0,,"MA, Mysore Viswavidyalaya , Mysore 2011-12 B.Ed., Rani Channamma viswavidyalaya, Belagavi 2019",GEN,Belgaum,Guest Lecturer,House wife,Education / Academia,Not Given,AAP,250.0,M,QFMNrXgC,2023,Postgraduate
1377,Hungund,Malappa Sabanna Ramawadagi,29,0,5140700.0,200000.0,"PUC From Pre-University College, Vidyanagar, Hungund, Year-2014",GEN,Bagalkot,Computer Xerox Shop,Agriculture,Business / Entrepreneurship,Agriculture / Farming,IND,271.0,M,EBTSkpyp,2023,Higher Secondary Education
1378,Belgaum Uttar,Mallappa C. Chougala,40,0,19973000.0,3700000.0,MBA at Indian School of Business Management Administration Bangalore in the Year 2009,GEN,Belgaum,Supervisor,Proprietor,Unknown,Business / Entrepreneurship,UPP,207.0,M,XtmDppRr,2023,Postgraduate
1379,Aland,Maheshwari,42,0,38572247.0,14583000.0,SSLC in 1996,GEN,Gulbarga,House Wife,Agriculturist,Cound't Classify,Agriculture / Farming,JD(S),1419.0,F,YPRppj9F,2023,Higher Secondary Education
1380,Kittur,Mahesh Fakirappa Hosamani,41,0,596900.0,,4rth Standard Govt Kiriya prathamika shale sampagav 1988-1994,GEN,Belgaum,Labor,Housewife,Unknown,Education / Academia,KRS,462.0,M,maz4Harj,2023,Primary Education
1381,Aland,Mahiboob Basha,45,0,6100000.0,850000.0,SSLC- Government High School Aland- October 1996,GEN,Gulbarga,Employee,House Wife,Cound't Classify,Cound't Classify,IND,178.0,M,KekSQF8r,2023,Higher Secondary Education
1382,Jagalur,Mallapura Devaraj,41,0,12289801.0,1670000.0,"SSLC,EX Municipal high school Davanagere -1999-2000",ST,Davangere,Agriculture and Business,Housewife,"Agriculture / Farming, Business / Entrepreneurship",Education / Academia,JD(S),1972.0,M,W2hB9SCJ,2023,Higher Secondary Education
1383,Bijapur City,Mallikarjun H T,43,0,127465.0,,Masters of Arts [In History] From Karnataka University,GEN,Bijapur,Social Worker,Social,Social Work / Activism,Social Work / Activism,SUCIC,49.0,M,4MCoChja,2023,Postgraduate
1384,Saundatti Yellamma,Mallikarjun Channappa Melagiri,67,0,14160000.0,,"SSLC from SK High School, Savadatti-591126",GEN,Belgaum,Agriculture,House wife,Agriculture / Farming,Not Given,KMLP,180.0,M,kqRrw8J9,2023,Higher Secondary Education
1385,Kalghatgi,Mallika,42,0,37606362.0,13657803.0,PUC SMS PU Collage-1997-98,GEN,Dharwad,Contractor,Contractor,Consulting / Advisory,Consulting / Advisory,PBI,79.0,M,G6gUgCkS,2023,Higher Secondary Education
1386,Saundatti Yellamma,Mallikarjun Gangappa Mudenur,40,0,325000.0,,7th From Govt kannada school Soundatti,GEN,Belgaum,labour,House wife,Cound't Classify,Not Given,IND,629.0,M,87SwccKY,2023,Primary Education
1387,Haliyal,Mallayya Gangayya Hiremath,31,0,2399800.0,99500.0,"ITI, Diesel Mechanical Incomplete from Sai ITI College, Dharwad in 2011-12",GEN,Uttara Kannada,Direct Sales Executives in Finance,House Wife,Banking / Finance,Cound't Classify,UPP,192.0,M,dj3a6aBm,2023,Vocational Training
1388,Jevargi,Mallikarjun Bailappa Nelogi,43,0,2750000.0,,"SSLC, Manorama Madvaraja High School in 1997",GEN,Gulbarga,Agriculture,House Work,Agriculture / Farming,Cound't Classify,IND,369.0,M,fp9tHQjc,2023,Secondary Education
1389,Kundgol,Mallikarjun Kallappa Totager,45,0,3916108.0,710743.0,PUC FROM Jagadguru Gangadar commers of college IN 1996-97,GEN,Dharwad,Business,business,Business / Entrepreneurship,Business / Entrepreneurship,IND,128.0,M,TGFxFLhp,2023,Higher Secondary Education
1390,Koppal,Mallikarjun Hadapada,55,0,855000.0,,1st and 2nd in Gavisideshwara school,GEN,Koppal,Barber,Housewife,Unknown,Education / Academia,IND,173.0,M,XJk84xpH,2023,Primary Education
1391,Hangal,Mallikarjun (Rajanna) C Haveri,47,0,141281061.0,,"Secondary School Leaving Certificate, Pass, Hukkerimat Shivabasaveshwara High School, Haveri - 1991",GEN,Haveri,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,IND,134.0,M,bYeEbUVZ,2023,Secondary Education
1392,Kagwad,Mallikarjun Shrishail Gunjiganvi,58,0,2340000.0,6000000.0,"L.L.B. From K.L.E. Law Collage Chikkodi, Year- 2018",GEN,Belgaum,Social worker,Not Given,Social Work / Activism,Cound't Classify,JD(S),887.0,M,BrSQsSf8,2023,Graduate
1393,Chamarajanagar,Mallikarjuna Swamy A .M,50,0,5759200.0,1150000.0,PUC Siddaganga mutta 1922-1993,GEN,Chamarajnagar,Agriculture,Private school teacher,Agriculture / Farming,Education / Academia,JD(S),1082.0,M,9FZBeMnJ,2023,Higher Secondary Education
1394,Chittapur,Mallikarjun S. H Pujari,34,0,150000.0,,"SSLC from Govt. High School, Chittapur in 2005",SC,Gulbarga,Driver Social Work,Household,"Sports / Athletics, Social Work / Activism",Not Given,KRS,485.0,M,93fcvEvT,2023,Higher Secondary Education
1395,Molakalmuru,Mallikarjuna.T,34,0,725112.0,,"SSLC Govt High School,Nagasamudra-2004",ST,Chitradurga,Daily wages,Daily wages,Unknown,Unknown,KRS,268.0,M,oYSRB4Hz,2023,Higher Secondary Education
1396,Chiknayakanhalli,Mallikarjunaiah B S,48,4,34415498.0,1500000.0,"DME From S.J Govt. Polytechnic Bangalore, Year-2009",GEN,Tumkur,Business,Self employee,Business / Entrepreneurship,Cound't Classify,KRS,422.0,M,PNg6fZf8,2023,Diploma Holder
1397,Kanakapura,Mallikarjunaiah,49,0,2274000.0,,"SSLC from Pass, Sri Sharanya Channappa Swamy High School, Channapatna Village In 1994",GEN,Ramanagaram,Business,House Wife,Business / Entrepreneurship,Cound't Classify,IND,288.0,M,5BgUhafo,2023,Secondary Education
1398,Davanagere North,Mallikarjunappa.K.M. Gummanuru,49,0,14415000.0,1082010.0,M A Karnataka Open University Mysore in 2014,GEN,Davangere,Lawyer,House Wife,Law / Judiciary,Cound't Classify,IND,108.0,M,YRaMXyzW,2023,Postgraduate
1399,Gurmitkal,Mallikarjun,32,0,292000.0,,Not having Educational Qualification,GEN,Yadgir,Daily wage,House wife,Cound't Classify,Not Given,UPP,668.0,M,LhEakCMz,2023,Illiterate
1400,Gadag,Mallikarjunagouda Shankargouda Parvatagoudra,62,0,13244731.0,571500.0,Secondary School Leaving Certificate Pass From H C E S Gadag - 1976,GEN,Gadag,Social Service and Agriculture,House Wife and Agriculture and Business,"Social Work / Activism, Agriculture / Farming","Agriculture / Farming, Arts / Entertainment",IND,283.0,M,D7sTgVEt,2023,Secondary Education
1401,Sindhanur,Mallikarjun Nekkanti,43,0,290500044.0,262468213.0,7th Pass From Ashram Bharathi Senior Primary School Sindanur Year 1998,GEN,Raichur,Businessman,Agricultural Business,Business / Entrepreneurship,"Agriculture / Farming, Business / Entrepreneurship",KRPP,2147.0,M,bSHxNfaG,2023,Primary Education
1402,Devar Hippargi,Manasoorbab Nabisaheb Bilagi,61,0,5624969.0,256694.0,"BA, LLB Special. Anjuman Law College Vijayapura Karnataka University Dharwad Year 1988",GEN,Bijapur,Private Advocate,Housewife,"Law / Judiciary, Consulting / Advisory",Education / Academia,NCP,129.0,M,LhP9w87b,2023,Graduate
1403,Lingsugur,Manappa D Vajjal,59,0,307477543.0,,"6th pass-1972 Govt Primary School,Dhabala",SC,Raichur,Social Work,Housewife,Social Work / Activism,Education / Academia,BJP,58769.0,M,2wHBnMPF,2023,Primary Education
1404,Babaleshwar,Manjula Kishan Chavan,42,0,311000.0,30000.0,"SSLC 1999 , Shri Bhavani Haigh school Vijayapura",GEN,Bijapur,Coolie,Coolie,Unknown,Unknown,IND,268.0,M,feabEG5M,2023,Higher Secondary Education
1405,Bommanahalli,Mamatha .R,38,0,6046000.0,3200000.0,"Master of Business Administration- Financial Management ,ANNAMALAI University in 2008",GEN,B.B.M.P(South),LIC Advisor,Self Employment,Banking / Finance,Business / Entrepreneurship,UPP,1819.0,F,cwCyteVq,2023,Postgraduate
1406,Mayakonda,Manju Madiga,36,0,690000.0,17500.0,"SSLC- Balabheema High School, Nagunda, Hirekerur Taluk Haveri District 2006-07",SC,Davangere,Agriculture and Prive Employee,Govt Hospital-NRHM Employee,Agriculture / Farming,Medicine / Healthcare,IND,194.0,M,gjwTSFak,2023,Higher Secondary Education
1407,Hangal,Mane Srinivas,48,0,101433096.0,30342985.0,B.com Degree from Janardan Rai Nagar Rajasthan Vidhyapeeth University Udaipur in 2007,GEN,Haveri,"Director BTM Investments Pvt Ltd Hubballi , Director BTM forging Pvt Ltd, Director Veetech Valves Pvt Ltd, Director S R Process Controls Pvt Ltd, Partner Future Auto Solutions Hubballi",Director BTM Investments Pvt Ltd Hubballi,Business / Entrepreneurship,Business / Entrepreneurship,INC,94590.0,M,Uonfz92P,2023,Graduate
1408,Shiggaon,Manjakka Rukkavva Pujar,37,1,600000.0,,PUC Govt Masajida college savannur 2005,GEN,Haveri,Social service,House wife,Social Work / Activism,Not Given,IND,216.0,M,YFDHpkCs,2023,Higher Secondary Education
1409,Bhadravati,Mangote Rudresh,48,0,40793299.0,766065.0,LLB from National College Shimoga in 1996- 2000,GEN,Shimoga,Advocate,House wife,Law / Judiciary,Not Given,BJP,21279.0,M,fD687ndS,2023,Graduate
1410,Saundatti Yellamma,Mamani Ratna Anand Alias Vishwanath,43,0,105763698.0,640402.0,"B.A. From Arts Science College, Sirasi, Karnataka University, Year-2001-02",GEN,Belgaum,Agriculturist Director of B.D.C.C. Bank,Not Given,"Agriculture / Farming, Banking / Finance",Cound't Classify,BJP,56529.0,M,gKGS2g55,2023,Graduate
1411,Chittapur,Manikanta Rathod,26,43,466313619.0,223872464.0,"10 th Fail- Girls Govt. PU Collge High school, Gurumitkal Taluk Gurumitkal Dist. Yadgir",SC,Gulbarga,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,BJP,67683.0,M,JP8PXuyj,2023,Secondary Education
1412,Navalgund,Mallikarjungouda Giriyappagouda Balangoudra,59,0,11184725.0,900000.0,7th In 1977 from Government Lower Primary School Shirur,GEN,Dharwad,Agriculture and Social Service,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify,IND,161.0,M,kW2DgE9K,2023,Primary Education
1413,Chikkodi-Sadalga,Manjunath Balu Paragoud,29,1,1803000.0,500000.0,PUC 1st year 2011 RD.College chikkodi,GEN,Belgaum,Agriculture and Driver,Not Given,"Agriculture / Farming, Not Given",Cound't Classify,KRRS,434.0,M,QwYHt8wD,2023,Higher Secondary Education
1414,Shirahatti,Manjunath Asangeppa Asangi,38,0,479000.0,670000.0,"SSLC , ITI, Electrician",SC,Gadag,ITI Fitter,NWKSRTC Mechanic Job,Engineering / Technology,Transportation / Logistics,KRS,228.0,M,jm8a32mN,2023,Vocational Training
1415,Padmanaba Nagar,Manjunath,54,0,621173136.0,27805443.0,"SSLC from Siddhaganga Rural High School, Bangalore in 1985-86",GEN,B.B.M.P(South),Social Activist and Business,Social Activist and Business,"Social Work / Activism, Business / Entrepreneurship","Social Work / Activism, Business / Entrepreneurship",JD(S),7857.0,M,aKZQHP5q,2023,Higher Secondary Education
1416,Kalghatgi,Manjunath Jakkannavar,40,0,3340000.0,200000.0,ITI Passed from Government College Dharwad in 2004,GEN,Dharwad,Business,House Wife,Business / Entrepreneurship,Cound't Classify,AAP,499.0,M,dNcmDrbM,2023,Vocational Training
1417,Ranibennur,Manjunath Goudashivannanavara,42,0,31745377.0,9266153.0,B.com Degree Kuvempu University Dharwad in 2013-15,GEN,Haveri,Business and Agriculture,House Wife,"Business / Entrepreneurship, Agriculture / Farming",Cound't Classify,JD(S),5840.0,M,2FxDTm4y,2023,Graduate
1418,Mahadevapura,Manjula S,48,0,530051631.0,182563952.0,Second Pre university College NMKRV Bangalore 1992,SC,Bangalore Urban,Business Social Worker,Civil Engineer and Social Worker,"Business / Entrepreneurship, Social Work / Activism","Engineering / Technology, Social Work / Activism",BJP,181731.0,M,Jj46draS,2023,Higher Secondary Education
1419,Yellapur,Manjunath Lava Kulumkar,35,0,3603000.0,500000.0,PUC -2020 Government pu college Mundhagoud,GEN,Uttara Kannada,Business,Business,Business / Entrepreneurship,Business / Entrepreneurship,AAP,192.0,M,mdXgCYu7,2023,Higher Secondary Education
1420,Shravanabelagola,Manjegowda Badakanahalli,39,0,1150000.0,,"9th Class, Karnataka Higher Education Board, Government High School, Baguru - 1998-99",GEN,Hassan,Driver,House Wife,Transportation / Logistics,Cound't Classify,AAP,898.0,M,AA4uDoSi,2023,Secondary Education
1421,Dharwad,Manjunath Laxmappa Hagedar,36,0,34137517.0,11275989.0,"MA,M.Ed, Karnataka University , Dharwad in 2005",GEN,Dharwad,"Educator, Business,Social Service",Business,"Education / Academia, Business / Entrepreneurship, Social Work / Activism",Business / Entrepreneurship,JD(S),921.0,M,gT6h7gvt,2023,Postgraduate
1422,Magadi,Manjunath.U,29,0,435992.0,,"Bachelor of Commerce - 2nd Year, Vivekananda First Grade College, Rajajinagar, Bengaluru",GEN,Ramanagaram,Self Employed (Events),No,Business / Entrepreneurship,Cound't Classify,IND,452.0,M,43tAwV5r,2023,Graduate
1423,Rajarajeshwarinagar,Manjunatha M,37,1,1882260.0,1370000.0,"Secondary School Leaving Certificate from Panchjanya Vidhyapeetha, Mallathalli, Karnataka State Board in year 2003",GEN,B.B.M.P(Central),Self Employed,House Wife,Business / Entrepreneurship,Cound't Classify,UPP,4118.0,M,gWX9Wx6o,2023,Secondary Education
1424,Maddur,Manjunatha G B,32,0,1210800.0,655000.0,Bachelor of Business Management from Mahajan first grade collage Mysore 2009-12,GEN,Mandya,Grama Panchayath Member,Working in Private Company,"Politics / Public Service, Social Work / Activism",Business / Entrepreneurship,IND,419.0,M,YF23BT6P,2023,Graduate
1425,Yellapur,Manjunath Shirahatti,41,0,1490000.0,350000.0,9th Standard,GEN,Uttara Kannada,Coconut Business,Housekeeping work in School,Agriculture / Farming,Hospitality / Tourism,KRS,120.0,M,PtKLqRkm,2023,Secondary Education
1426,Padmanaba Nagar,Manjunatha N,32,0,19580000.0,,"12 th class ,Govt. PU College arasikere Hassan dist.",GEN,B.B.M.P(South),Business and soccial service,Unmarried,"Business / Entrepreneurship, Social Work / Activism",Cound't Classify,SYKP,225.0,M,NggNRX8B,2023,Higher Secondary Education
1427,Hukkeri,Manjunath.B.Gaddennavar,37,0,932500.0,,B.A From SDVS Sanghas SS Arts Collage T P Science Institute Sankeshwar Karnataka University Dharwad April May 2007,GEN,Belgaum,Business,Not Given,Business / Entrepreneurship,Cound't Classify,AAP,189.0,M,Gh5yU67G,2023,Graduate
1428,Byatarayanapura,Manjunatha Chari K,45,1,1800000.0,2000000.0,PUC Govt College 1988,GEN,Bangalore Urban,Business,House wife,Business / Entrepreneurship,Not Given,RJNHP,64.0,M,LscDQSWD,2023,Higher Secondary Education
1429,Dasarahalli,Manjunath R.,44,0,645200.0,,10th in 1995,GEN,Bangalore Urban,Business,House Wife,Business / Entrepreneurship,Cound't Classify,IND,319.0,M,XDdCkWgU,2023,Secondary Education
1430,Ranibennur,Manjunatha K,38,2,991000.0,143000.0,MSc in Computer Science Periyar University 2021,GEN,Haveri,Software Programmer,Teacher,Information Technology,Education / Academia,IND,169.0,M,PNwGhTKN,2023,Postgraduate
1431,Shimoga Rural,Manjunatha.S.S,39,0,670000.0,400000.0,"M.Com from Karnataka Open University Mysore in 2012, LLB in 2017 LLM in 2019 from Karnataka Law University Hubli",SC,Shimoga,Lawyer,House wife,Law / Judiciary,Not Given,AAP,1715.0,F,kRGVWHZy,2023,Postgraduate
1432,Arkalgud,Manjunatha H.P,43,0,5854400.0,500000.0,"4th class S E Pre school, J.Hosahalli ramanathapura hobli Arakalagudu",GEN,Hassan,Agriculture,House wife,Agriculture / Farming,Not Given,BDBRAJP,8.0,M,cMLfMzvf,2023,Primary Education
1433,Sorab,Manjunatha Uppalli,33,0,3480490.0,85560.0,"8th class, Government Pre - University College - Sorab",GEN,Shimoga,Agriculture,House Wife,Agriculture / Farming,Cound't Classify,KRS,207.0,M,MGwAiEbc,2023,Secondary Education
1434,Magadi,Manjunatha.K.R,29,0,,,Pre-University,GEN,Ramanagaram,Agriculture,No,Agriculture / Farming,Cound't Classify,IND,619.0,M,Vah8QkbM,2023,Higher Secondary Education
1435,Haliyal,Mannurappa Kallappa Jari,52,0,2552000.0,300000.0,"Secondary School Leaving Certificate, Pass, The New English Composite Junior College , Allannavara - 1988",GEN,Uttara Kannada,Private Employee,House Wife,Business / Entrepreneurship,Cound't Classify,BSP,452.0,M,mZGkdScS,2023,Higher Secondary Education
1436,Hangal,Manohar Hanumantappa Tahasildar,75,0,75948526.0,8312835.0,"BE Mechanical Course 1967 to 1972-73 , BMS Engineering college Bangalore",GEN,Haveri,Shetkari Legislative Assembly Allowances,House wife,Unknown,Not Given,JD(S),8834.0,M,KihyRZSY,2023,Graduate
1437,Bhatkal,Mankal Vaidya,51,1,642419070.0,361187037.0,8th from Janata University murdeshwara 1988,GEN,Uttara Kannada,Fish business,Bina vaidya international public school,Agriculture / Farming,Education / Academia,INC,100442.0,M,W4rk5DvF,2023,Primary Education
1438,Ranibennur,Manjunath N,32,0,19542000.0,,"2nd PUC, Govt. Pre-University College, Arasikere Hassan Dist.",GEN,Haveri,Business Social Service,No,"Business / Entrepreneurship, Social Work / Activism",Cound't Classify,SYKP,286.0,M,Ddg3Ey8W,2023,Higher Secondary Education
1439,Gundlupet,Manjunatha K.S.,40,3,4856319.0,,M.Sc.(Geography) From Madras University 2016,GEN,Chamarajnagar,Business and Agricultural,house wife,"Business / Entrepreneurship, Agriculture / Farming",Not Given,JD(S),1850.0,M,nEtDQhh5,2023,Postgraduate
1440,Holalkere,Manjunatha Swamy.T,34,0,254000.0,,ITI Electrician From Bagyashri ITI college Challekere,SC,Chitradurga,Business,Not Given,Business / Entrepreneurship,Cound't Classify,IND,654.0,,Q65MLaRA,2023,Vocational Training
1441,Kanakapura,Manmohan Raj K N,26,0,15500.0,509000.0,"Bachelor of Engineering, Electrical Electronics engineering, visvesvaraya technological university Belagavi year 2019",GEN,Ramanagaram,Senior Associate at Genpact,Not Given,Information Technology,Cound't Classify,UPP,1258.0,M,d6vfqvBr,2023,Graduate
1442,Challakere,Marakka,40,0,370000.0,,"SSLC Rajarajeswari high school,Madakarinagara,Challakere 1998-99",ST,Chitradurga,House wife,Social work and politics,Not Given,"Politics / Public Service, Social Work / Activism",AAP,3072.0,F,AEeqQ4Uu,2023,Higher Secondary Education
1443,Byndoor,Mansoor Ibrahim,48,0,42375871.0,6861525.0,"SSLC,Govt Junior College ,Navunda ,Kundapura in 1995",GEN,Udupi,Fish Business,Home Maker,Agriculture / Farming,Not Given,JD(S),841.0,M,PK7u62X9,2023,Higher Secondary Education
1444,Chamaraja,Manojkumar. M,42,0,14186000.0,,SSLC Banumaya High school Mysore,GEN,Mysore,Gold Silver Works,Not Given,Arts / Entertainment,Cound't Classify,IND,145.0,M,BbKUfGpr,2023,Higher Secondary Education
1445,Yadgir,Maragappa Salikeri,39,0,1996484.0,800000.0,"PUC, Javaher PU College 2001",GEN,Yadgir,Private work and Social service,Housewife,"Business / Entrepreneurship, Social Work / Activism",Education / Academia,IND,245.0,F,FtQwTaHc,2023,Higher Secondary Education
1446,Virajpet,Manzoor Ali M.A,50,0,10960000.0,800000.0,D.Pharma Sharada Vilas College of Pharmacy Mysore in 1997,GEN,Kodagu,Pharmacist,Housewife,Medicine / Healthcare,Education / Academia,JD(S),1121.0,M,3EoSSbxg,2023,Diploma Holder
1447,Byatarayanapura,Maqsood Ahmed,50,1,3005000.0,,SSLC from Mahmood Sharief High School in 1986,GEN,Bangalore Urban,Auto Conseltant,House wife,Engineering / Technology,Not Given,NVCP,46.0,M,aTzps3x2,2023,Higher Secondary Education
1448,Virajpet,Manu Somaiah,51,1,17814871.0,800000.0,"SSLC, Diploma in Plantation Crops and Management, Cauvery College, Gonikoppal, Kodagu Dist in 1992",GEN,Kodagu,Agriculture Social Worker,House Wife,"Agriculture / Farming, Social Work / Activism",Cound't Classify,SKP,25.0,M,DYc5zect,2023,Diploma Holder
