,constituency,name,party,age,cases,assets,liabilities,education_category,education,constituency_category,district,self_profession,spouse_profession,self_profession_category,spouse_profession_category
1222,Harapanahalli,Latha Mallikarjun,IND,57,0,72929747.0,6491783.0,Higher Secondary Education,"PUC, G.B.R College ,Huvinahadagali in 1984",GEN,Davangere,"Agriculture, Social Service","Retired Government Worker, Agriculture, Business","Agriculture / Farming, Social Work / Activism","Politics / Public Service, Agriculture / Farming, Business / Entrepreneurship"
1223,Madhugiri,Lakshminarayanappa,IND,69,0,512500.0,50000.0,Primary Education,"3rd from Govt. High School Kasapura Midageshi Hobli, Madhugiri Taluk",GEN,Tumkur,Agriculture,Housewife,Agriculture / Farming,Education / Academia
1224,Basavanagudi,L.Jeevan,Karnataka Rashtra Samithi,37,4,8545897.0,,Graduates,"Bachelor of Commerce, Bengaluru University - 2008",GEN,B.B.M.P(South),Tax Consultant News Paper Distributions,DTP,"Banking / Finance, Media / Journalism",Consulting / Advisory
1225,Sorab,L.G.Guddappa Maruru,IND,59,2,6453000.0,1080000.0,Illiterate,Not educated,GEN,Shimoga,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
1226,Harapanahalli,Latha,IND,42,0,2204749.0,,Higher Secondary Education,II PUC,GEN,Davangere,Social Worker,Business,Social Work / Activism,Business / Entrepreneurship
1227,Mahalakshmi Layout,Lakshminarayana M R,Uttama Prajaakeeya Party,37,0,15262000.0,565000.0,Secondary Education,SSLC From Dr. Br. Ambedkar High School Bangalore Rural District Year 2002,GEN,B.B.M.P(North),Architect,TC,Engineering / Technology,Education / Academia
1228,Gauribidanur,Lakshmana Nayka B,Uttama Prajaakeeya Party,46,0,1930000.0,170000.0,Higher Secondary Education,"IInd PUC from AES National College, Gauribidanur In 1997",GEN,Chikkaballapur,Farmer,Housewife,Agriculture / Farming,Education / Academia
1229,Hadagalli,Lakkappa Angadi,Rani Chennamma Party,61,0,450000.0,,Graduates,BA Degree ADB Degree College Parapanahalli year 1991,SC,Bellary,Retired Teacher Agriculture,Housewife,"Education / Academia, Agriculture / Farming",Education / Academia
1230,Hagaribommanahalli,Lalyanaik,Indian Movement Party,64,1,7593757.0,300000.0,Graduates,"B.A. from V. N. C. College, Hospete 1987-1990",SC,Bellary,Retired Head Master and Agriculture,Agriculture,"Education / Academia, Agriculture / Farming",Agriculture / Farming
1231,Belgaum Rural,Laxmi R. Hebbalkar,INC,48,3,131840922.0,68864493.0,Postgraduates,"M.A. (Political Science) From University of Mysore, Year-2002",GEN,Belgaum,"Director in Harsha Sugars Ltd., Belagavi, Mrinal Sugars Ltd., Belagavi, Harsha Builders and Developers Pvt. Ltd., Belagavi and Chairperson, Lakshmitayi Foundation, Belagavi",Agriculture,Business / Entrepreneurship,Agriculture / Farming
1232,Hubli-Dharwad East,Laxman Morab,Hindustan Janta Party Secular,34,0,768059.0,,Postgraduates,LLB.JSS.Sakri law Vidyalaya Hobli-2010-15,SC,Dharwad,Advacate,Housewife,Law / Judiciary,Education / Academia
1233,Khanapur,Laxman Yallappa Bannar,IND,62,0,2930055.0,,Secondary Education,"Secondary School Leaving Certificate, Pass",GEN,Belgaum,Contractor,House Wife,Consulting / Advisory,Cound't Classify
1234,Aurad,Laxman,KRPP,54,3,165268300.0,,Doctorates,"M.D.Banglore Medical College Banglore University , MBBS Gulbarga university gulbarga 1993",SC,Bidar,Doctor,Not applicable,Medicine / Healthcare,Not Given
1235,Basavana Bagevadi,Laxmibai S.G. Patil,IND,60,0,101000.0,,Secondary Education,"SSLC, Shri Siddeshwara Prouda Shale Shirur, Tq, Bagalakote, Di Vijayapura",GEN,Bijapur,Housewife,Late,Education / Academia,Cound't Classify
1236,Narasimharaja,Lingaraj. M,IND,41,0,1055000.0,,Postgraduates,"MA Political Science in 2008, Diploma in Journalism in 2011 from Open University KSOU",GEN,Mysore,Employee in private sector,Housewife,Not Given,Education / Academia
1237,Gulbarga Dakshin,L.R. Bhosle,BSP,67,0,13618733.0,1500000.0,Graduates,B.A from Dharwad University in 1981-82,GEN,Gulbarga,"BSNL Worker (Retd), Social Worker",Govt. Servent,Social Work / Activism,"Politics / Public Service, Law Enforcement / Security"
1238,Narasimharaja,Leelashivakumar,Uttama Prajaakeeya Party,54,0,39650000.0,,Secondary Education,SSLC From B Siddannaih High school Hassan,GEN,Mysore,Home Maker,Superintendent of Police,Not Given,Law Enforcement / Security
1239,Athani,Laxman Sangappa Savadi,INC,64,1,371838123.0,19881050.0,Higher Secondary Education,2nd PUC SSMS College Athani 591304 in 1978,GEN,Belgaum,Agriculture and Social Service,Agriculture and Housewife,"Agriculture / Farming, Social Work / Activism",Agriculture / Farming
1240,Kadur,Lohitha G T,Uttama Prajaakeeya Party,38,0,3958500.0,975000.0,Higher Secondary Education,"Department of Pre-University Education from S.N. P.U. College Antharaghatte, Kaduru, Taluk, Chickmagalur District, Karnataka State Board in 2005",GEN,Chikmagalur,Private Company Employee,House Wife,Business / Entrepreneurship,Cound't Classify
1241,Rajaji Nagar,Lingaraju,IND,37,0,6337000.0,,Higher Secondary Education,"PUC from Rajajinagar Pre University, Bangalore in 2003-04",GEN,B.B.M.P(Central),Social Service and Business,home Maker,"Social Work / Activism, Business / Entrepreneurship",Not Given
1242,Hunsur,Lokesha B.L,IND,37,0,750000.0,,Higher Secondary Education,PUC from Boys Junior College in 2004,GEN,Mysore,Car Driver,House wife,Transportation / Logistics,Not Given
1243,Mandya,Lola Bellundagere,IND,55,0,3285000.0,,Secondary Education,SSLC MVM High School Kilara Mandya Taluk and District in 1985-86,GEN,Mandya,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
1244,Kudligi,Lokesh. V. Nayaka,BJP,47,0,160958695.0,,Postgraduates,"M.A. L.L.B- Bengaluru University, 2017",ST,Bellary,LVN Gas agency And L.R. Multispecialty,Tuition,"Business / Entrepreneurship, Environmental Conservation",Education / Academia
1245,Byadgi,Lohitha Namadeva,Uttama Prajaakeeya Party,33,0,27000.0,,Higher Secondary Education,12th and BA Appearing Ignou University Delhi,GEN,Haveri,Daily Wages and Self Employed,House Wife,"Unknown, Not Given",Cound't Classify
1246,Mayakonda,Lokesha. P. D.,IND,30,0,11589983.0,715777.0,Higher Secondary Education,2nd PUC G Channappa PU College Anagudu Davangere in 2009-10,SC,Davangere,Self employee,SBI Life Senior BDM,Cound't Classify,Banking / Finance
1247,Shravanabelagola,M A Gopalaswamy,INC,53,0,80769917.0,,Vocational Training,ITI 1988-89 KSRTC Industrial Centre Hassan,GEN,Hassan,Agriculture and Business,Business,"Agriculture / Farming, Business / Entrepreneurship",Business / Entrepreneurship
1248,Mudigere,Lokavalli Ramesh,BSP,48,0,7163000.0,500000.0,Secondary Education,SSLC from Dr. B. R. Ambedkar School Bilgula Mudigere 1991,SC,Chikmagalur,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
1249,Ramanagaram,Lokesh. N,Indian Movement Party,40,0,1116000.0,,Secondary Education,"SSLC Govt Prouda shale Konagal, kailanch Hobli, Ramanagar Taluk, Karnataka Proda shikshana mandali, bengaluru",GEN,Ramanagaram,Agriculture,Housewife,Agriculture / Farming,Education / Academia
1250,Govindraj Nagar,Lohith. M,IND,40,1,32565000.0,,Postgraduates,"LLB from Viveshwarapura College of Law, Bangalore University in 2005",GEN,B.B.M.P(South),Advocate,Software Employee,Law / Judiciary,Information Technology
1251,Davanagere North,Lokikere Nagaraj,BJP,51,3,143427845.0,36075054.0,Higher Secondary Education,PUC Sri Manjunathappa College Davangere in 1989-90,GEN,Davangere,Business and Agriculture,Business,"Business / Entrepreneurship, Agriculture / Farming",Business / Entrepreneurship
1252,Mayakonda,M Basavaraja Naik,BJP,60,3,47453000.0,10940890.0,Graduates,B.Com Mysore University (1987-88),SC,Davangere,"Social Service,Business,Agriculture",Agriculture,"Social Work / Activism, Business / Entrepreneurship, Agriculture / Farming",Agriculture / Farming
1253,T.Narasipur,M D Manjunatha,Karnataka Rashtra Samithi,40,0,103033.0,150000.0,Secondary Education,9th Class Yadadhuru High School,SC,Mysore,Daily wage,House wife,Cound't Classify,Not Given
1254,Davanagere North,M G Srikanth,IND,41,0,2692788.0,924343.0,Secondary Education,10th STD Motiveerappa Government School Davangere Year 2007-08,GEN,Davangere,Vehicle Insurance Representative and Social worker,House Wife and Social worker,"Transportation / Logistics, Social Work / Activism","Not Given, Social Work / Activism"
1255,Madikeri,M Khaleel,IND,51,0,2500000.0,,Literate,7th from Purasaba Hindustani Primary High School,GEN,Kodagu,Business,House wife,Business / Entrepreneurship,Not Given
1256,Raichur Rural,M Khashim Nayak,KRPP,41,0,13780000.0,0.0,Secondary Education,SSLC Passed in year 2001- 02,ST,Raichur,Agriculture,House wife,Agriculture / Farming,Not Given
1257,Bangalore South,M Krishnappa,BJP,61,0,899949800.0,205114536.0,Secondary Education,"SSLC ,JSS,High school ,8th block jayanagar ,,bangalore,1978-79",GEN,Bangalore Urban,Legislators,Industrialist,Politics / Public Service,Business / Entrepreneurship
1258,Babaleshwar,M B Patil,INC,58,5,1413104981.0,,Graduates,"B.E - Civil Engineering BLDE Institute V.P.Dr. PG Halakatti College of Engineering Technology, Vijayapura, Karnataka University, Dharward passed in 1990",GEN,Bijapur,Togetherness,House wife Togetherness,Cound't Classify,Not Given
1259,Gulbarga Dakshin,M D Maqbool Khan,IND,54,0,560000.0,,Postgraduates,MA in Urdu Mysore University in 1997,GEN,Gulbarga,Business,House Wife,Business / Entrepreneurship,Cound't Classify
1260,Shivajinagar,M Rafeeq Ahmed,IND,65,0,6604000.0,,Secondary Education,High School from Colonel Hill English High School,GEN,B.B.M.P(Central),Business,House Wife,Business / Entrepreneurship,Cound't Classify
1261,Tumkur City,M V Kalyani,SUCI(C),39,0,7230360.0,4517000.0,Graduates,B A Bangalore University Year passing 2003-04,GEN,Tumkur,Social Activist,Government Teacher,Social Work / Activism,Education / Academia
1262,Shrirangapattana,M M Maheshagowda,IND,52,0,8245000.0,,Secondary Education,"Secondary School Leaving Certificate, Pass, Govt. High School, K R Sagar - 1985-86",GEN,Mandya,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
1263,Byadgi,M N Naik,AAP,35,2,888585.0,1249000.0,Postgraduates,"Master of Business Administration from Jain University, Bangalore in 2012",GEN,Haveri,"Business Man, Social Activist",House Wife,"Business / Entrepreneurship, Social Work / Activism",Cound't Classify
1264,Vijay Nagar,M Krishnappa,INC,71,1,2962656915.0,771806410.0,Graduates,"B.Sc. from Sri Jagadguru Renukacharya College, Bangalore University in 1973",GEN,B.B.M.P(South),Business and Agriculturist,Business and Agriculturist,"Business / Entrepreneurship, Agriculture / Farming","Business / Entrepreneurship, Agriculture / Farming"
1265,K.R.Pura,M P Jaganatha Rao,Jana Spandana Party,52,0,300000.0,199396.0,Secondary Education,"SSLC BVNHS, Devasandra, Krishnarajpura, Bengaluru - 560036",GEN,B.B.M.P(North),Real Estate Bussiness,Unmarried,Construction / Real Estate,Cound't Classify
1266,Hiriyur,M Raveendrappa,JD(S),62,0,100876824.0,61839073.0,Graduates,"B.E. from Government BDT College of Engineering, Mysore University, Davanagere in 1984",GEN,Chitradurga,"Pensioner, Agriculture",Business,Agriculture / Farming,Business / Entrepreneurship
1267,Rajaji Nagar,M Narasimhalu,IND,64,0,6892754.0,,Higher Secondary Education,1st PUC Sheshadripuram Evening College Bengaluru 1982,GEN,B.B.M.P(Central),Business Social Service,Tution,"Business / Entrepreneurship, Social Work / Activism",Education / Academia
1268,Tiptur,M Ravi,IND,43,0,46049417.0,3596997.0,Higher Secondary Education,"2nd PUC Failed ,Govt P U Collage Chamarajapete Bangalore 1996 97",GEN,Tumkur,Business,Housewife,Business / Entrepreneurship,Education / Academia
1269,Siruguppa,M. H. Veereshappa,AIFB,64,1,1685000.0,,Primary Education,"5th Class FROM Govt. Primary High School, 64 - Halekote Village, Siruguppa",ST,Bellary,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
1270,Malavalli,M. Krishnamurthy,BSP,49,0,1775000.0,100000.0,Doctorates,"MA in Hindi From Mysore University 2000 B.Ed. in Hindi From Mysore Hindi Prachara Parishath, Bangalore, Year-1997",SC,Mandya,Social worker,Not Given,Social Work / Activism,Cound't Classify
1271,Kundgol,M R Patil,BJP,61,0,17202932.0,246125.0,Graduates,"B-Com, J.G Commerce College, Hubli-1983",GEN,Dharwad,Shetaki,House Wife and Tailring,Cound't Classify,Cound't Classify
1272,Indi,M. M. Bagawan,IND,32,0,737500.0,360000.0,Higher Secondary Education,9th-SDMC Urdu SchoolIndi-2008,GEN,Bijapur,Business,Housewife,Business / Entrepreneurship,Education / Academia
1273,Chamundeshwari,M. M. Mahesha Gowda,IND,52,0,8245000.0,,Secondary Education,10th Government High School KR Nagar in 1985-86,GEN,Mysore,Agriculture,House Wife,Agriculture / Farming,Cound't Classify
1274,Chickpet,M V Vishnu,Uttama Prajaakeeya Party,26,0,2497303.0,,Postgraduates,Master of Business Administration (Sports Management) - MBA ESG - 2017 - 2019 and Bachelor of Commerce - Vijaya Evening College - Bangalore University - 2014 - 2017,GEN,B.B.M.P(Central),Management Professional and Business,Not Given,Business / Entrepreneurship,Cound't Classify
1275,Rajarajeshwarinagar,M. Lingaraju,Jai Maha Bharath Party,46,0,21688000.0,6000000.0,Secondary Education,"SSLC From Rajarajeshwari school, Rajarajeshwari Nagar, Karnataka State Board In 1995",GEN,B.B.M.P(Central),Self Employed,House wife,Business / Entrepreneurship,Not Given
1276,Hosakote,M Shrimathi,Indian Movement Party,43,0,7340000.0,,Secondary Education,SSLC from Karnataka Board of Secondary Education in 1993-94,GEN,Bangalore Rural,School Teacher,Self Job,Education / Academia,Business / Entrepreneurship
1277,Jayanagar,M P Nanjesh Kumar,IND,47,0,5000.0,,Higher Secondary Education,PUC B.com,GEN,B.B.M.P(South),Own business,House Wife,Business / Entrepreneurship,Cound't Classify
1278,Bangarapet,M. Mallesh Babu,JD(S),49,2,218769865.0,31827872.0,Postgraduates,MBA Degree Bangalore University Central College Bangalore in April 1997,SC,Kolar,Business Retail Outlet of IOCL Trade Name Sri Sai Service Station,Agriculturist,"Business / Entrepreneurship, Transportation / Logistics",Agriculture / Farming
1279,Varuna,M. Mahesh,IND,45,0,2615220.0,,Primary Education,4TH PASS 1989 from Govt. School,GEN,Mysore,Own Business,Housewife,Business / Entrepreneurship,Education / Academia
1280,Chikmagalur,M. P. Eregowda,AAP,62,0,10234755.0,,Graduates,"Bachelor of Arts From IDSG College, Chikkamagaluru - 1989",GEN,Chikmagalur,Retired Teacher,No,Not Given,Cound't Classify
1281,Kolar,M. Ramesha,IND,36,0,1772300.0,50000.0,Secondary Education,SSLC Karnataka High School and Pre University College Kolar in March 2009,GEN,Kolar,Social Service,House Wife,Social Work / Activism,Cound't Classify
1282,Channagiri,M. Roopa Kagaturu,KRPP,37,0,6661000.0,3300000.0,Postgraduates,M.Sc from Vinayak Mechanical University,GEN,Davangere,Principal,Business,Education / Academia,Business / Entrepreneurship
1283,Chamundeshwari,M. Nagaraju,IND,65,0,12620350.0,1100000.0,Graduates,"B.Sc from V.V. Puram College Bangalore, Bangalore University In 1979",GEN,Mysore,Agriculture,Agriculture,Agriculture / Farming,Agriculture / Farming
1284,Chamundeshwari,M. Rangaswamy,IND,62,0,1369170.0,,Secondary Education,SSLC Pass,GEN,Mysore,KSRTC Retried Conductor,No,Law Enforcement / Security,Cound't Classify
1285,Siruguppa,M. S. Gadilingappa,IND,32,0,1016000.0,550000.0,Postgraduates,"MA, LLM From Vijayanagar Shree Krishna Devaraya University Bellary",ST,Bellary,Agriculture and Lawyer,Self Employment,"Law / Judiciary, Agriculture / Farming",Business / Entrepreneurship
1286,Anekal,M. Ramesh,IND,50,0,6040000.0,,Secondary Education,SSLC from Govt Higher Secondary School in 1996 Thali Tamilnadu,SC,Bangalore Urban,Provision Strore,House wife,Business / Entrepreneurship,Not Given
1287,Bangarapet,M. Narayanaswamy,BJP,70,1,83355283.0,41233395.0,Graduates,"Bachelor of Arts, Bangalore University 1970-71",SC,Kolar,Agriculture and social service,Agricultural and house wife,"Agriculture / Farming, Social Work / Activism","Agriculture / Farming, Not Given"
1288,Chamaraja,M. Panchalingu,Country Citizen Party,62,0,12000.0,,Graduates,2nd Year B.Com Passed from Banumaiah College in 1987,GEN,Mysore,Aluminum Fabrication works,Housewife Home Maker,Unknown,Not Given
1289,C.V. Raman Nagar,M. Rajendra,Republican Party of India,51,0,26320000.0,,Postgraduates,"LLB KGF Law College 2001, Bangalore University",SC,B.B.M.P(North),Farmer Advocate,House Wife,Agriculture / Farming,Cound't Classify
1290,Hanur,M. Nagaraju,IND,53,0,462600.0,500000.0,Graduates,"B.A. (Sociology) From Mysore University, Year-1997",GEN,Chamarajnagar,Social service,Housewife,Social Work / Activism,Education / Academia
1291,Dasarahalli,M. Sneha,Indian Movement Party,40,1,200000.0,,Secondary Education,10th STD,GEN,Bangalore Urban,Social Service,Supervisor,Social Work / Activism,Unknown
1292,Turuvekere,M.C.Srinivas,BSP,43,0,100000.0,3507.0,Secondary Education,"SSLC Pass 1994 - 95, ITI 1998",GEN,Tumkur,Self Business,Self Business,Business / Entrepreneurship,Business / Entrepreneurship
1293,Arkalgud,M.C. Vishwanatha Bisalahalli,IND,58,0,5691000.0,260000.0,Graduates,B.Com Pass 1983,GEN,Hassan,Agriculture,Housewife,Agriculture / Farming,Education / Academia
1294,Chitradurga,M.A.Basavaraju,IND,47,0,547000.0,,Postgraduates,"MA, Kuvempu Vishwa Vidyalaya 2010",GEN,Chitradurga,Photographer,House wife,Arts / Entertainment,Not Given
1295,Chamundeshwari,M. S. Praveen,Karnataka Rashtra Samithi,36,0,17365000.0,,Postgraduates,M. Tech from Structural Engineering College In 2011,GEN,Mysore,Structural Engineer chartered Engineer,Housewife,Engineering / Technology,Education / Academia
1296,Nargund,M. Y. Nayak,IND,40,0,1038400.0,,Higher Secondary Education,"PUC From Sri Shankar Arts and Commerce College Navalagund, Year-2000",GEN,Gadag,Private Employee,Government Employee (S.O),Business / Entrepreneurship,Politics / Public Service
1297,Holalkere,M.Chandrappa,BJP,71,0,257587486.0,576640.0,Graduates,BA in 1979,SC,Chitradurga,"Business, Agriculture , Social Service","Agriculture, Work","Business / Entrepreneurship, Agriculture / Farming, Social Work / Activism",Agriculture / Farming
1298,Chickpet,M. Srinivasa Murthy,IND,48,0,967020.0,,Secondary Education,10th from Hombegowda Boys Highschool in 1992,GEN,B.B.M.P(Central),Event Organiser,Business,Arts / Entertainment,Business / Entrepreneurship
1299,Siruguppa,M. S. Somalingappa,BJP,62,1,66611097.0,17924470.0,Higher Secondary Education,"PUC, First Year, Commerce Department Fail, From VKJ Pre-University College, PU Board, Bangalore In 1983",ST,Bellary,Agriculture,House Wife and Agriculture,Agriculture / Farming,"Not Given, Agriculture / Farming"
